account_id,company_name,country_hq,industry,employee_count,site_count,countries_with_sites,current_network_setup,lead_source,intent_stage_at_creation,created_date,close_date,outcome,acv_gbp,lost_reason,current_arr_gbp,churn_reason
ACC-0001,Faring Advisory,DK,Professional services,6190,57,11,SD-WAN in-house + local ISPs,Outbound SDR,Awareness,2021-03-12,2021-11-16,Closed Won,207000,,256000,
ACC-0002,Harwick Biosciences,IT,Life sciences,8170,63,22,MPLS + local ISPs,ABM - intent,Purchase,2022-06-23,2022-12-08,Closed Won,203000,,412000,
ACC-0003,Ingram Manufacturing,BE,Manufacturing,9460,102,32,Multiple regional carriers,Partner referral,Consideration,2024-01-14,2024-10-07,Closed Won,350000,,552000,
ACC-0004,Birchley Media,DK,Media,1040,19,15,MPLS + local ISPs,Inbound - content,Decision,2020-04-17,2021-04-11,Closed Won,61000,,69000,
ACC-0005,Everard Industries,BE,Manufacturing,2750,27,9,MPLS + local ISPs,ABM - intent,,2023-02-26,2024-01-29,Closed Won,109000,,127000,
ACC-0006,Hollin Logistics,IT,Logistics,8880,72,22,MPLS + local ISPs,Partner referral,,2022-07-18,2023-02-22,Closed Won,291000,,466000,
ACC-0007,Kelder Brands,DK,Retail,57000,444,80,Global MPLS from tier-1 carrier,Event,Consideration,2023-03-09,2024-02-20,Closed Lost,1417000,Chose tier-1 global carrier for fully managed WAN,,
ACC-0008,Veldhoven Power,SE,Energy,1580,23,12,Multiple regional carriers,Inbound - content,Awareness,2022-04-21,2022-12-31,Closed Won,85000,,94000,
ACC-0009,Corvane Resorts,US,Hospitality,3960,39,4,Single national carrier,RFP / tender,Purchase,2021-05-25,2021-10-13,Closed Won,128000,,0,Footprint concentrated in one country - global platform no longer justified
ACC-0010,Northam Consulting,SE,Professional services,1480,17,8,"Legacy MPLS, no SD-WAN",Event,Consideration,2022-07-01,2023-06-27,Closed Won,66000,,76000,
ACC-0011,Kirkby Consulting,IE,Professional services,490,4,1,Single national carrier,Inbound - content,,2024-05-19,2024-07-30,Closed Lost,15000,No decision - project deprioritised,,
ACC-0012,Elstree Engineering,NL,Manufacturing,2610,38,4,Single national carrier,RFP / tender,,2021-09-26,2022-01-25,Closed Won,130000,,0,Moved to local national carrier at renewal on price
ACC-0013,Castell Components,BE,Manufacturing,3350,37,3,Single national carrier,RFP / tender,Decision,2021-03-10,2021-07-02,Closed Won,108000,,0,Consolidated onto parent company's carrier after acquisition
ACC-0014,Juniper Distribution,BE,Logistics,11810,114,25,"Legacy MPLS, no SD-WAN",Partner referral,Purchase,2023-11-10,2024-07-25,Closed Won,541000,,980000,
ACC-0015,Yarrow Capital,ES,Financial services,5640,59,13,"Legacy MPLS, no SD-WAN",Inbound - content,Decision,2023-01-30,2023-09-21,Closed Won,248000,,282000,
ACC-0016,Tamsin Retail Group,DK,Retail,6880,57,10,MPLS + local ISPs,Event,Awareness,2022-08-18,2023-07-09,Closed Won,180000,,214000,
ACC-0017,Garrow Hotels,DE,Hospitality,300,5,2,Single national carrier,Inbound - content,Awareness,2024-09-22,2024-12-23,Closed Lost,18000,Small domestic footprint - chose local ISP,,
ACC-0018,Penrose Retail Group,IT,Retail,4080,39,3,Single national carrier,RFP / tender,Decision,2021-10-27,2022-02-27,Closed Won,115000,,0,Moved to local national carrier at renewal on price
ACC-0019,Brennan Engineering,DK,Manufacturing,6790,59,25,MPLS + local ISPs,Event,Consideration,2024-11-09,2025-06-03,Closed Lost,250000,Lost to security-led SASE vendor - CISO requirement,,
ACC-0020,Solvik Financial,BE,Financial services,3120,45,12,SD-WAN in-house + local ISPs,Inbound - content,Awareness,2022-11-23,2023-11-18,Closed Won,151000,,166000,
ACC-0021,Kestrel Retail Group,BE,Retail,11200,123,35,"Legacy MPLS, no SD-WAN",ABM - intent,Consideration,2021-08-11,2022-03-24,Closed Won,436000,,878000,
ACC-0022,Eastoke Industries,US,Manufacturing,1540,32,10,"Legacy MPLS, no SD-WAN",ABM - intent,Awareness,2021-01-30,2021-10-23,Closed Won,105000,,130000,
ACC-0023,Moravia Logistics,CH,Logistics,5360,105,27,MPLS + local ISPs,ABM - intent,Decision,2021-02-09,2021-07-24,Closed Won,374000,,877000,
ACC-0024,Mereford Brands,FR,Retail,3770,40,15,MPLS + local ISPs,ABM - intent,Decision,2021-10-15,2022-06-25,Closed Won,136000,,296000,
ACC-0025,Alder Power,DK,Energy,5530,49,14,Multiple regional carriers,Outbound SDR,Decision,2022-09-20,2023-08-10,Closed Won,149000,,163000,
ACC-0026,Calder Financial,ES,Financial services,1350,24,7,Multiple regional carriers,RFP / tender,,2024-04-19,2024-06-24,Closed Lost,72000,Price - incumbent carrier matched or undercut,,
ACC-0027,Stellan Components,US,Manufacturing,10740,99,21,"Legacy MPLS, no SD-WAN",Event,Decision,2022-09-11,2023-06-11,Closed Lost,470000,Lost to security-led SASE vendor - CISO requirement,,
ACC-0028,Halden Distribution,SE,Logistics,9300,98,14,Multiple regional carriers,Outbound SDR,Decision,2025-04-08,2026-03-02,Closed Lost,462000,No champion in network team - stalled at CIO,,
